student_id,student_name,question_id,score
ananya,Ananya,Q1,0.85
ananya,Ananya,Q2,0.85
ananya,Ananya,Q3,0.90
ananya,Ananya,Q4,0.90
ananya,Ananya,Q5,0.80
ananya,Ananya,Q6,0.80
ananya,Ananya,Q7,0.78
ananya,Ananya,Q8,0.78
ananya,Ananya,Q9,0.35
ananya,Ananya,Q10,0.35
ananya,Ananya,Q11,0.42
ananya,Ananya,Q12,0.42
rahul,Rahul,Q1,0.52
rahul,Rahul,Q2,0.52
rahul,Rahul,Q3,0.40
rahul,Rahul,Q4,0.40
rahul,Rahul,Q5,0.60
rahul,Rahul,Q6,0.60
rahul,Rahul,Q7,0.55
rahul,Rahul,Q8,0.55
rahul,Rahul,Q9,0.92
rahul,Rahul,Q10,0.92
rahul,Rahul,Q11,0.88
rahul,Rahul,Q12,0.88
priya,Priya,Q1,0.82
priya,Priya,Q2,0.82
priya,Priya,Q3,0.48
priya,Priya,Q4,0.48
priya,Priya,Q5,0.45
priya,Priya,Q6,0.45
priya,Priya,Q7,0.75
priya,Priya,Q8,0.75
priya,Priya,Q9,0.40
priya,Priya,Q10,0.40
priya,Priya,Q11,0.50
priya,Priya,Q12,0.50
karthik,Karthik,Q1,0.45
karthik,Karthik,Q2,0.45
karthik,Karthik,Q3,0.78
karthik,Karthik,Q4,0.78
karthik,Karthik,Q5,0.72
karthik,Karthik,Q6,0.72
karthik,Karthik,Q7,0.45
karthik,Karthik,Q8,0.45
karthik,Karthik,Q9,0.45
karthik,Karthik,Q10,0.45
karthik,Karthik,Q11,0.45
karthik,Karthik,Q12,0.45
meena,Meena,Q1,0.45
meena,Meena,Q2,0.45
meena,Meena,Q3,0.45
meena,Meena,Q4,0.45
meena,Meena,Q5,0.45
meena,Meena,Q6,0.45
meena,Meena,Q7,0.45
meena,Meena,Q8,0.45
meena,Meena,Q9,0.75
meena,Meena,Q10,0.75
meena,Meena,Q11,0.75
meena,Meena,Q12,0.75
arjun,Arjun,Q1,0.75
arjun,Arjun,Q2,0.75
arjun,Arjun,Q3,0.45
arjun,Arjun,Q4,0.45
arjun,Arjun,Q5,0.45
arjun,Arjun,Q6,0.45
arjun,Arjun,Q7,0.45
arjun,Arjun,Q8,0.45
arjun,Arjun,Q9,0.45
arjun,Arjun,Q10,0.45
arjun,Arjun,Q11,0.45
arjun,Arjun,Q12,0.45
